,route,name,type,departure_time,arrival_time,duration,price,seats_available,rating
0,Jammu (j and k) to Srinagar,Harikesh Tour N Travels,NON A/C Seater / Sleeper (2+2),20:30,06:00,09h 30m,679,38 Seats available,1.1
1,Jammu (j and k) to Srinagar,Northern Travels,Volvo Multi-Axle B9R A/c Semi Sleeper (2+2),22:30,05:30,0-737h 00m,INR 1299,31 Seats available,2.9
2,Jammu (j and k) to Srinagar,North Kashmir Tour and Travels,NON A/C Sleeper (2+2),16:30,02:30,10h 00m,INR 699,40 Seats available,1.0
3,Jammu (j and k) to Srinagar,North Kashmir Tour and Travels,NON A/C Sleeper (2+2),17:15,03:15,10h 00m,INR 699,40 Seats available,1.0
4,Jammu (j and k) to Haridwar,Laxmi holidays,Bharat Benz A/C Seater /Sleeper (2+1),20:50,09:30,12h 40m,1226,1 Seat available,4.3
5,Jammu (j and k) to Haridwar,SHRI KRISHNA TRAVELS (JAI SHREE GANESH YATRA CO.),VE A/C Seater / Sleeper (2+1),20:00,08:55,12h 55m,786,6 Seats available,4.1
6,Jammu (j and k) to Haridwar,Vijay Tour and Travels,Bharat Benz A/C Seater /Sleeper (2+1),16:40,05:00,12h 20m,833,10 Seats available,4.5
7,Jammu (j and k) to Haridwar,New Pal Travels,A/C Sleeper (2+2),20:30,09:25,12h 55m,1125,24 Seats available,3.5
8,Jammu (j and k) to Haridwar,City Land Travels,A/C Seater/Sleeper (2+1),18:30,06:50,12h 20m,809,13 Seats available,3.3
9,Jammu (j and k) to Delhi,Laxmi holidays,Bharat Benz A/C Sleeper (2+1),21:15,08:30,11h 15m,712,13 Seats available,4.7
10,Jammu (j and k) to Delhi,Gola Bus Service,VE A/C Seater / Sleeper (2+1),20:20,07:50,11h 30m,INR 499,30 Seats available,4.8
11,Jammu (j and k) to Delhi,R S YADAV SMART BUS PRIVATE LIMITED,VE A/C Seater / Sleeper (2+1),20:30,08:30,12h 00m,INR 490,26 Seats available,4.5
12,Jammu (j and k) to Delhi,AdLavish Travels,A/C Seater / Sleeper (2+2),16:35,05:30,12h 55m,706,4 Seats available,3.5
13,Jammu (j and k) to Delhi,Laxmi holidays,Volvo 9600 Multi-Axle A/C Sleeper (2+1),20:15,08:00,11h 45m,950,23 Seats available,4.5
14,Jammu (j and k) to Delhi,IntrCity SmartBus,VE A/C Seater / Sleeper (2+1),20:00,07:45,11h 45m,INR 470,24 Seats available,4.5
15,Jammu (j and k) to Delhi,Laxmi holidays,Bharat Benz A/C Sleeper (2+1),21:30,09:00,11h 30m,712,21 Seats available,4.4
16,Jammu (j and k) to Delhi,AdLaxmi holidays,Bharat Benz A/C Sleeper (2+1),18:15,06:00,11h 45m,623,20 Seats available,4.3
17,Jammu (j and k) to Delhi,Zingbus Plus,Bharat Benz A/C Seater /Sleeper (2+1),20:10,09:45,13h 35m,445,18 Seats available,4.5
18,Jammu (j and k) to Delhi,Laxmi holidays,Bharat Benz A/C Seater /Sleeper (2+1),17:45,05:30,11h 45m,416,17 Seats available,4.3
19,Jammu (j and k) to Delhi,Ram Dalal Holidays,A/C Seater/Sleeper (2+1),20:15,07:30,11h 15m,370,9 Seats available,4.3
20,Jammu (j and k) to Delhi,Laxmi holidays,Bharat Benz A/C Seater /Sleeper (2+1),19:00,06:30,11h 30m,481,39 Seats available,3.9
21,Jammu (j and k) to Delhi,IntrCity SmartBus,AC Sleeper (2+1),20:50,08:30,11h 40m,INR 679,17 Seats available,4.1
22,Jammu (j and k) to Delhi,Laxmi holidays,Volvo 9600 Multi-Axle A/C Sleeper (2+1),18:45,06:00,11h 15m,855,24 Seats available,4.2
23,Jammu (j and k) to Delhi,IntrCity SmartBus,A/C Seater / Sleeper (2+1),18:00,06:00,12h 00m,INR 449,21 Seats available,4.3
24,Jammu (j and k) to Delhi,Laxmi holidays,Bharat Benz A/C Seater /Sleeper (2+1),22:45,10:20,11h 35m,523,23 Seats available,4.1
25,Jammu (j and k) to Delhi,Awadh Travels,A/C Sleeper (2+2),20:55,08:40,11h 45m,798,32 Seats available,4.6
26,Jammu (j and k) to Delhi,DS Hari Travels,A/C Seater / Sleeper (2+2),21:30,09:00,11h 30m,INR 499,48 Seats available,3.3
27,Jammu (j and k) to Delhi,B S Holiday Travels,A/C Seater / Sleeper (2+2),21:45,09:00,11h 15m,699,30 Seats available,5.0
28,Jammu (j and k) to Delhi,Jamna Travels (Delhi),A/C Seater / Sleeper (2+2),18:30,07:00,12h 30m,INR 699,24 Seats available,3.3
29,Jammu (j and k) to Delhi,Jamna Travels (Delhi),A/C Seater / Sleeper (2+2),21:00,10:26,13h 26m,INR 699,24 Seats available,2.5
30,Jammu (j and k) to Delhi,Jamna Travels-Jammu,A/C Seater / Sleeper (2+2),20:30,08:00,11h 30m,INR 949,30 Seats available,1.9
31,Jammu (j and k) to Delhi,City Land Travels,A/C Seater/Sleeper (2+1),19:30,07:30,12h 00m,675,1 Seat available,3.6
32,Jammu (j and k) to Delhi,Goel Tourist (Regd),A/C Seater / Sleeper (2+2),18:00,07:15,13h 15m,555,11 Seats available,3.6
33,Jammu (j and k) to Delhi,FlixBus,A/C Sleeper (2+1),20:05,08:35,12h 30m,INR 417,15 Seats available,3.6
34,Jammu (j and k) to Delhi,RK Holiday,A/C Seater / Sleeper (2+2),20:45,08:25,11h 40m,1899,30 Seats available,2.9
35,Jammu (j and k) to Delhi,BSS COOL COOL TRAVELS,A/C Seater / Sleeper (2+2),17:30,07:00,13h 30m,INR 799,23 Seats available,3.5
36,Jammu (j and k) to Delhi,BSS COOL COOL TRAVELS,A/C Seater / Sleeper (2+2),20:15,08:15,12h 00m,INR 799,40 Seats available,3.8
37,Jammu (j and k) to Delhi,SPEED BUS,A/C Volvo B11R Multi-Axle Sleeper (2+1),21:30,10:45,13h 15m,3400,36 Seats available,3.0
38,Jammu (j and k) to Delhi,CAPITAL HOLIDAYS,A/C Seater / Sleeper (2+2),22:30,08:30,10h 00m,899,34 Seats available,1.2
39,Jammu (j and k) to Delhi,Travel Point World LLP,A/C Seater / Sleeper (2+2),17:16,05:46,12h 30m,569,46 Seats available,1.4
40,Jammu (j and k) to Delhi,Big Bus,A/C Seater / Sleeper (2+2),23:00,10:00,11h 00m,INR 799,32 Seats available,1.5
41,Jammu (j and k) to Delhi,Shiv Mohan Travels,AC Sleeper (2+1),20:15,09:15,13h 00m,INR 1038.1,34 Seats available,4.7
42,Jammu (j and k) to Delhi,Shub Yatra Holidays,A/C Sleeper (2+2),21:15,10:00,12h 45m,INR 1199,17 Seats available,2.3
43,Jammu (j and k) to Delhi,Harikesh Tour N Travels,A/C Sleeper (2+2),20:30,08:00,11h 30m,1189,46 Seats available,3.8
44,Jammu (j and k) to Delhi,DIVA BUS,AC Sleeper (2+1),20:30,09:00,12h 30m,INR 4999,36 Seats available,3.7
45,Jammu (j and k) to Delhi,Lucky Bus Service,VE A/C Sleeper (2+2),21:15,07:15,10h 00m,1439,32 Seats available,3.6
46,Jammu (j and k) to Delhi,Apex Bus Travels,A/C Seater / Sleeper (2+2),20:00,10:00,14h 00m,899,38 Seats available,3.4
47,Jammu (j and k) to Delhi,SHAH HOLIDAY TRAVEL,Bharat Benz A/C Seater / Sleeper (2+2),21:00,08:00,11h 00m,INR 1499,22 Seats available,2.8
48,Jammu (j and k) to Delhi,Ashok Travels,A/C Seater / Sleeper (2+2),17:30,06:00,12h 30m,INR 759,52 Seats available,2.5
49,Jammu (j and k) to Delhi,RAO TRAVELS INDIA PVT LTD.,Mercedes Benz A/C (2+2),20:45,08:15,11h 30m,INR 3000,47 Seats available,2.3
50,Jammu (j and k) to Delhi,Travel Point World LLP,A/C Seater / Sleeper (2+2),20:00,08:15,12h 15m,1234,46 Seats available,1.7
51,Jammu (j and k) to Delhi,Big Bus,A/C Seater / Sleeper (2+2),21:00,08:00,11h 00m,INR 799,34 Seats available,1.5
52,Jammu (j and k) to Delhi,Big Bus,A/C Seater / Sleeper (2+2),18:30,05:30,11h 00m,INR 795,28 Seats available,1.5
53,Jammu (j and k) to Delhi,MEHRA TRAVELS,Bharat Benz A/C Sleeper (2+1),20:03,06:00,09h 57m,INR 1399,34 Seats available,1.5
54,Jammu (j and k) to Delhi,Cool cool Tour and Travels India Pvt LTD,A/C Seater / Sleeper (2+2),19:30,09:46,14h 16m,INR 1099,24 Seats available,1.0
55,Jammu (j and k) to Delhi,Sahiba Travels India Sahiba Bus Service Regd,A/C Sleeper (2+2),21:30,09:31,12h 01m,INR 1800,22 Seats available,1.0
56,Delhi to Jammu (j and k),IntrCity SmartBus,VE A/C Seater / Sleeper (2+1),18:30,08:15,13h 45m,INR 527,10 Seats available,4.6
57,Delhi to Jammu (j and k),Laxmi holidays,Volvo 9600 Multi-Axle A/C Sleeper (2+1),21:30,10:15,12h 45m,950,26 Seats available,4.5
58,Delhi to Jammu (j and k),R S YADAV SMART BUS PRIVATE LIMITED,A/C Seater / Sleeper (2+1),18:30,07:10,12h 40m,INR 490,31 Seats available,4.4
59,Delhi to Jammu (j and k),AdLaxmi holidays,Bharat Benz A/C Sleeper (2+1),18:00,07:00,13h 00m,783,9 Seats available,4.2
60,Delhi to Jammu (j and k),Gola Bus Service,VE A/C Seater / Sleeper (2+1),20:00,09:00,13h 00m,INR 399,30 Seats available,4.8
61,Delhi to Jammu (j and k),Laxmi holidays,Volvo 9600 Multi-Axle A/C Sleeper (2+1),18:30,07:00,12h 30m,950,8 Seats available,4.4
62,Delhi to Jammu (j and k),Ram Dalal Holidays,A/C Seater/Sleeper (2+1),18:30,06:25,11h 55m,495,12 Seats available,4.6
63,Delhi to Jammu (j and k),AdAwadh Travels,A/C Sleeper (2+2),21:10,10:10,13h 00m,722,35 Seats available,3.8
64,Delhi to Jammu (j and k),Laxmi holidays,Bharat Benz A/C Seater /Sleeper (2+1),17:00,06:00,13h 00m,587,13 Seats available,4.3
65,Delhi to Jammu (j and k),Laxmi holidays,Bharat Benz A/C Sleeper (2+1),22:00,11:00,13h 00m,760,25 Seats available,4.3
66,Delhi to Jammu (j and k),Zingbus Plus,Bharat Benz A/C Seater /Sleeper (2+1),20:25,06:30,10h 05m,498,11 Seats available,4.5
67,Delhi to Jammu (j and k),Laxmi holidays,Bharat Benz A/C Sleeper (2+1),22:30,11:30,13h 00m,760,23 Seats available,4.3
68,Delhi to Jammu (j and k),Yolo Bus,A/C Seater/Sleeper (2+1),19:15,07:30,12h 15m,INR 450,29 Seats available,4.5
