,route,name,type,departure_time,arrival_time,duration,price,seats_available,rating
0,Bangalore to Kozhikode,KSRTC (Kerala) - 235,Swift Deluxe Non AC Air Bus (2+2),15:00,00:01,09h 01m,INR 620,12 Seats available,4.6
1,Bangalore to Kozhikode,KSRTC (Kerala) - 370,AC MULTI AXLE,15:25,22:20,06h 55m,INR 729,11 Seats available,2.3
2,Bangalore to Kozhikode,KSRTC (Kerala) - 97,Swift Deluxe Non AC Air Bus (2+2),16:02,00:50,08h 48m,INR 567,15 Seats available,2.8
3,Bangalore to Kozhikode,KSRTC (Kerala) - 171,Swift Deluxe Non AC Air Bus (2+2),16:16,01:20,09h 04m,INR 640,13 Seats available,4.5
4,Bangalore to Kozhikode,KSRTC (Kerala) - 553,Super Deluxe Non AC Seater Air Bus (2+2),16:45,01:25,08h 40m,INR 640,4 Seats available,1.9
5,Bangalore to Kozhikode,KSRTC (Kerala) - 51,Swift Deluxe Non AC Air Bus (2+2),19:04,04:24,09h 20m,INR 640,33 Seats available,4.1
6,Bangalore to Kozhikode,KSRTC (Kerala) - 789,Super Fast Non AC Seater (2+3),20:00,04:25,08h 25m,INR 473,25 Seats available,3.6
7,Bangalore to Kozhikode,KSRTC (Kerala) - 1585,Super Deluxe Non AC Seater Air Bus (2+2),20:31,05:36,09h 05m,INR 640,30 Seats available,4.2
8,Bangalore to Kozhikode,KSRTC (Kerala) - 1586,Super Deluxe Non AC Seater Air Bus (2+2),21:31,06:36,09h 05m,INR 640,35 Seats available,3.2
9,Bangalore to Kozhikode,KSRTC (Kerala) - 2133,Swift Deluxe Non AC Air Bus (2+2),22:12,07:36,09h 24m,INR 640,29 Seats available,2.7
10,Bangalore to Kozhikode,KSRTC (Kerala) - 2063,SWIFT-GARUDA A/C SEATER BUS,22:32,07:35,09h 03m,INR 627,8 Seats available,4.1
11,Bangalore to Kozhikode,KSRTC (Kerala) - 574,Super Deluxe Non AC Seater Air Bus (2+2),23:00,09:30,10h 30m,INR 469,17 Seats available,3.7
12,Bangalore to Kozhikode,KSRTC (Kerala) - 583,Super Deluxe Non AC Seater Air Bus (2+2),23:30,09:35,10h 05m,INR 469,22 Seats available,3.9
13,Bangalore to Kozhikode,KSRTC (Kerala) - 56,SWIFT-GARUDA A/C SEATER BUS,23:41,09:05,09h 24m,INR 627,23 Seats available,3.8
14,Bangalore to Kozhikode,MMK Travels,VE A/C Seater / Sleeper (2+1),22:30,07:30,09h 00m,INR 700,18 Seats available,4.4
15,Bangalore to Kozhikode,NS Transports,Non A/C Seater / Sleeper (2+1),21:45,06:10,08h 25m,INR 675,15 Seats available,4.2
16,Bangalore to Kozhikode,NS Transports,VE A/C Sleeper (2+1),22:45,07:30,08h 45m,INR 950,7 Seats available,4.1
17,Bangalore to Kozhikode,AdSURAJ TRAVEL HOUSE,VE A/C Seater / Sleeper (2+1),21:00,07:30,10h 30m,INR 700,29 Seats available,3.7
18,Bangalore to Kozhikode,DLT BUS,A/C Sleeper (2+1),22:30,07:30,09h 00m,INR 999,13 Seats available,4.0
19,Bangalore to Kozhikode,P K Travels,A/C Sleeper (2+1),18:45,06:30,11h 45m,INR 1000,14 Seats available,4.2
20,Bangalore to Kozhikode,Suraj Holidays,VE A/C Sleeper (2+1),22:30,07:30,09h 00m,INR 850,19 Seats available,3.9
21,Bangalore to Kozhikode,AdSAAM BUS,Bharat Benz A/C Sleeper (2+1),20:10,06:45,10h 35m,785,14 Seats available,4.3
22,Bangalore to Kozhikode,NS Transports,Non A/C Seater / Sleeper (2+1),22:15,06:30,08h 15m,INR 675,10 Seats available,4.0
23,Bangalore to Kozhikode,National travels and logistics,NON A/C Sleeper (2+1),22:45,06:30,07h 45m,649,16 Seats available,3.8
24,Bangalore to Kozhikode,Kallada Travels (Suresh Kallada),A/C Sleeper (2+1),22:00,07:05,09h 05m,INR 800,17 Seats available,3.8
25,Bangalore to Kozhikode,SKS Tourist Corporation (REGD),A/C Sleeper (2+1),21:00,05:30,08h 30m,INR 899,18 Seats available,3.8
26,Bangalore to Kozhikode,P K Travels,A/C Sleeper (2+1),21:45,06:30,08h 45m,INR 900,23 Seats available,3.6
27,Bangalore to Kozhikode,DA Transports,A/C Sleeper (2+1),21:45,07:00,09h 15m,INR 700,22 Seats available,3.5
28,Bangalore to Kozhikode,A1 Travels,Non A/C Seater / Sleeper (2+1),21:00,06:45,09h 45m,INR 500,26 Seats available,3.2
29,Bangalore to Kozhikode,SKS Tours & Travels,A/C Sleeper (2+1),21:15,05:45,08h 30m,INR 849,18 Seats available,4.3
30,Bangalore to Kozhikode,Sam Tourist,NON AC Seater / Sleeper 2+1,22:05,07:05,09h 00m,INR 599,29 Seats available,3.5
31,Bangalore to Kozhikode,SRS Travels,A/C Sleeper (2+1),21:45,06:40,08h 55m,INR 940,14 Seats available,2.3
32,Bangalore to Kozhikode,Suraj Holidays,NON AC Seater / Sleeper 2+1,20:30,06:00,09h 30m,INR 650,20 Seats available,3.4
33,Bangalore to Kozhikode,A1 Travels,Bharat Benz A/C Seater /Sleeper (2+1),19:45,05:45,10h 00m,INR 650,33 Seats available,2.7
34,Bangalore to Kozhikode,Bharathi Travels,A/C Sleeper (2+1),23:45,08:00,08h 15m,INR 890,22 Seats available,2.2
35,Bangalore to Kozhikode,NS Transports,NON A/C Sleeper (2+1),22:30,06:45,08h 15m,INR 749,20 Seats available,4.1
36,Bangalore to Kozhikode,P K Travels,Non A/C Seater / Sleeper (2+1),19:15,05:15,10h 00m,INR 700,25 Seats available,3.5
37,Bangalore to Kozhikode,Kalpaka Travels,NON A/C Semi Sleeper (2+2),22:00,06:30,08h 30m,INR 700,22 Seats available,3.2
38,Bangalore to Kozhikode,A1 Travels,A/C Seater / Sleeper (2+1),21:45,07:00,09h 15m,INR 550,32 Seats available,1.8
39,Bangalore to Kozhikode,Vijay Lines,A/C Seater / Sleeper (2+1),22:20,07:00,08h 40m,INR 599,28 Seats available,1.0
40,Bangalore to Kozhikode,National travels and logistics,A/C Sleeper (2+1),22:45,07:15,08h 30m,INR 2290,23 Seats available,3.7
41,Bangalore to Kozhikode,DA Transports,A/C Sleeper (2+1),21:45,07:00,09h 15m,INR 799,25 Seats available,3.5
42,Kozhikode to Ernakulam,KSRTC (Kerala) - 2369,Low Floor AC Seater 2+2,14:30,20:14,05h 44m,INR 383,18 Seats available,2.8
