,route,name,type,departure_time,arrival_time,duration,price,seats_available,rating
0,Pune to Goa,Kadamba Transport Corporation Limited (KTCL) - 89821,A/C Sleeper (2+1),19:15,05:50,10h 35m,INR 800,10 Seats available,3.8
1,Pune to Goa,Atmaram Gobus,VE A/C Sleeper (2+1),22:30,08:45,10h 15m,INR 606,7 Seats available,4.6
2,Pune to Goa,Ashray Travels,Bharat Benz A/C Sleeper (2+1),21:00,08:30,11h 30m,693,8 Seats available,4.6
3,Pune to Goa,Atmaram Gobus,VE A/C Sleeper (2+1),21:00,07:30,10h 30m,INR 555,9 Seats available,4.4
4,Pune to Goa,Ashray Vip Yellows,A/C Sleeper (2+1),20:30,08:00,11h 30m,648,16 Seats available,4.4
5,Pune to Goa,Zingbus Plus,Bharat Benz A/C Sleeper (2+1),21:45,08:35,10h 50m,498,14 Seats available,4.5
6,Pune to Goa,Ashray Amrutyog,A/C Sleeper (2+1),22:00,09:30,11h 30m,647,11 Seats available,4.5
7,Pune to Goa,Ashray Travels,Non A/C Seater / Sleeper (2+1),21:15,07:45,10h 30m,INR 400,22 Seats available,4.5
8,Pune to Goa,Zingbus Plus,Bharat Benz A/C Sleeper (2+1),23:00,10:00,11h 00m,540,3 Seats available,4.3
9,Pune to Goa,Indumati Travels,A/C Sleeper (2+1),22:20,08:30,10h 10m,570,11 Seats available,4.2
10,Pune to Goa,Atmaram Gobus,NON A/C Sleeper (2+1),20:30,07:00,10h 30m,INR 399,11 Seats available,4.3
11,Pune to Goa,Laxmi-Princess Nova,Non A/C Seater / Sleeper (2+1),20:00,07:15,11h 15m,INR 399,13 Seats available,4.3
12,Pune to Goa,Ashray Divine,NON A/C Sleeper (1+2),19:45,06:45,11h 00m,554,17 Seats available,4.1
13,Pune to Goa,IntrCity SmartBus,AC Sleeper (2+1),21:00,07:40,10h 40m,INR 719,5 Seats available,4.1
14,Pune to Goa,KVT Narmada Benz,Bharat Benz A/C Sleeper (2+1),22:05,08:01,09h 56m,INR 700,16 Seats available,4.1
15,Pune to Goa,Humsafar Travels,A/C Sleeper (2+1),22:50,09:30,10h 40m,INR 1050,18 Seats available,4.0
16,Pune to Goa,Prasanna - Purple Bus,Volvo A/C Sleeper (2+1),21:45,08:45,11h 00m,INR 1020,6 Seats available,4.2
17,Pune to Goa,Shreyash Travels,Bharat Benz A/C Sleeper (2+1),21:45,08:30,10h 45m,545,10 Seats available,3.9
