,route,name,type,departure_time,arrival_time,duration,price,seats_available,rating
0,Patiala to Delhi,PEPSU (Punjab) - 66687,Volvo AC Seater (2+2),18:10,23:35,05h 25m,INR 692,38 Seats available,4.0
1,Patiala to Delhi,PEPSU (Punjab) - 67104,AC Seater Hvac 2+2,22:30,03:31,05h 01m,INR 440,35 Seats available,3.0
2,Delhi to Patiala,PEPSU (Punjab) - 67140,AC Seater Hvac 2+2,16:30,22:00,05h 30m,INR 440,38 Seats available,3.2
3,Delhi to Patiala,PEPSU (Punjab) - 66667,Volvo AC Seater (2+2),17:31,22:30,04h 59m,INR 692,30 Seats available,4.2
4,Delhi to Patiala,PEPSU (Punjab) - 67103,AC Seater Hvac 2+2,22:30,04:00,05h 30m,INR 440,40 Seats available,3.3
5,Ludhiana to Delhi,PEPSU (Punjab) - 67098,Volvo AC Seater (2+2),19:50,03:35,07h 45m,INR 845,35 Seats available,4.5
6,Ludhiana to Delhi,PEPSU (Punjab) - 67128,Volvo AC Seater (2+2),20:50,04:10,07h 20m,INR 845,36 Seats available,4.6
7,Ludhiana to Delhi,PEPSU (Punjab) - 67137,Volvo AC Seater (2+2),21:50,04:55,07h 05m,INR 845,37 Seats available,4.2
8,Ludhiana to Delhi,Yolo Bus,VE A/C Seater / Sleeper (2+1),22:27,05:00,06h 33m,INR 400,23 Seats available,4.6
9,Ludhiana to Delhi,Laxmi holidays,VE A/C Sleeper (2+1),23:55,07:00,07h 05m,570,23 Seats available,4.4
10,Ludhiana to Delhi,IntrCity SmartBus,AC Sleeper (2+1),22:50,05:45,06h 55m,INR 466,20 Seats available,4.3
11,Ludhiana to Delhi,AdArmaan Tour & Travels,A/C Seater / Sleeper (2+1),22:50,06:00,07h 10m,524,30 Seats available,3.5
12,Ludhiana to Delhi,IntrCity SmartBus,Bharat Benz A/C Seater /Sleeper (2+1),23:55,06:05,06h 10m,INR 320,31 Seats available,4.4
13,Ludhiana to Delhi,IntrCity SmartBus,A/C Seater / Sleeper (2+1),22:45,06:20,07h 35m,INR 381,25 Seats available,4.5
14,Ludhiana to Delhi,NueGo,Electric A/C Seater (2+2),23:15,05:05,05h 50m,380,24 Seats available,3.7
15,Ludhiana to Delhi,Zingbus Plus,Bharat Benz A/C Seater /Sleeper (2+1),23:50,06:40,06h 50m,465,31 Seats available,4.7
16,Ludhiana to Delhi,NueGo,Electric A/C Seater (2+2),18:00,23:50,05h 50m,380,38 Seats available,3.5
17,Ludhiana to Delhi,IntrCity SmartBus,A/C Seater / Sleeper (2+1),23:40,06:00,06h 20m,INR 323,32 Seats available,4.6
18,Ludhiana to Delhi,Golden Temple Express Volvo,A/C Seater / Sleeper (2+2),23:25,05:20,05h 55m,499,31 Seats available,4.2
19,Ludhiana to Delhi,Golden Temple Express Volvo,Volvo Multi-Axle A/C Semi Sleeper (2+2),23:58,06:20,06h 22m,549,34 Seats available,3.2
20,Ludhiana to Delhi,Classic Travels,A/C Seater / Sleeper (2+2),23:55,06:55,07h 00m,INR 389,38 Seats available,2.6
21,Ludhiana to Delhi,IntrCity SmartBus,A/C Seater / Sleeper (2+1),23:45,06:00,06h 15m,INR 381,24 Seats available,3.7
22,Ludhiana to Delhi,Golden Temple Express Volvo,A/C Seater / Sleeper (2+2),23:30,05:20,05h 50m,449,25 Seats available,3.8
23,Ludhiana to Delhi,Classic Travels,A/C Seater / Sleeper (2+2),23:30,06:30,07h 00m,INR 389,37 Seats available,2.4
24,Ludhiana to Delhi,ADTC tour and Travels,Bharat Benz A/C Seater /Sleeper (2+1),23:55,05:15,05h 20m,INR 449,22 Seats available,2.7
25,Ludhiana to Delhi,ADTC tour and Travels,Volvo Multi-Axle I-Shift B11R Semi Sleeper (2+2),23:40,05:10,05h 30m,INR 600,33 Seats available,2.7
26,Ludhiana to Delhi,NueGo,Electric A/C Seater (2+2),00:05,05:55,05h 50m,380,36 Seats available,3.2
27,Ludhiana to Delhi,IntrCity SmartBus,VE A/C Seater / Sleeper (2+1),23:45,05:55,06h 10m,INR 381,24 Seats available,4.4
