,route,name,type,departure_time,arrival_time,duration,price,seats_available,rating
0,Jodhpur to Ajmer,RSRTC - 178737,Express Non AC Seater 2+3,15:30,20:05,04h 35m,INR 229,42 Seats available,4.2
1,Jodhpur to Ajmer,RSRTC - 190572,Express Non AC Seater 2+3,16:15,21:00,04h 45m,INR 229,42 Seats available,4.2
2,Jodhpur to Ajmer,RSRTC - 175650,Super Luxury Volvo AC Seater Pushback 2+2,16:30,20:30,04h 00m,INR 460,19 Seats available,4.4
3,Jodhpur to Ajmer,RSRTC - 160785,Super Luxury Volvo AC Seater Pushback 2+2,17:30,21:30,04h 00m,INR 460,37 Seats available,4.1
4,Jodhpur to Ajmer,RSRTC - 190951,Express Non AC Seater 2+3,18:00,22:30,04h 30m,INR 229,42 Seats available,4.2
5,Jodhpur to Ajmer,RSRTC - 193481,Express Non AC Seater 2+3,18:30,23:00,04h 30m,INR 229,42 Seats available,4.2
6,Jodhpur to Ajmer,RSRTC - 187140,NON AC Seater / Sleeper 2+1,19:30,23:30,04h 00m,INR 302,37 Seats available,4.2
7,Jodhpur to Ajmer,RSRTC - 176394,Super Luxury Volvo AC Seater Pushback 2+2,20:00,23:45,03h 45m,INR 460,31 Seats available,4.4
8,Jodhpur to Ajmer,RSRTC - 189473,NON AC Seater / Sleeper 2+1,21:00,01:30,04h 30m,INR 302,34 Seats available,4.2
9,Jodhpur to Ajmer,RSRTC - 193596,Express Non AC Seater 2+3,22:30,02:00,03h 30m,INR 229,42 Seats available,4.2
10,Jodhpur to Ajmer,RSRTC - 192299,Super Luxury Volvo AC Seater Pushback 2+2,23:00,02:45,03h 45m,INR 458,34 Seats available,4.3
11,Jodhpur to Ajmer,RSRTC - 189583,NON AC Seater / Sleeper 2+1,23:59,03:45,03h 46m,INR 302,37 Seats available,5.0
12,Jodhpur to Ajmer,B R Travels,AC Sleeper (2+1),18:30,23:00,04h 30m,INR 500,21 Seats available,3.9
13,Jodhpur to Ajmer,Chanakya Travels Agency,NON A/C Seater/ Sleeper (2+1),20:30,01:15,04h 45m,INR 500,40 Seats available,3.7
14,Jodhpur to Ajmer,Gorsiya Travels,Bharat Benz A/C Seater /Sleeper (2+1),21:16,02:16,05h 00m,INR 400,29 Seats available,3.5
15,Jodhpur to Ajmer,Jakhar Travels And Cargo,Non A/C Seater / Sleeper (2+1),21:45,03:45,06h 00m,INR 400,30 Seats available,3.6
16,Jodhpur to Ajmer,Jakhar Travels And Cargo,Non A/C Seater / Sleeper (2+1),22:15,02:55,04h 40m,INR 400,50 Seats available,3.6
17,Jodhpur to Ajmer,Chouhan Tour and Travel,A/C Seater / Sleeper (2+2),22:26,03:11,04h 45m,INR 650,33 Seats available,3.4
18,Jodhpur to Ajmer,Swagat Travels,A/C Seater / Sleeper (2+1),22:42,02:50,04h 08m,INR 450,41 Seats available,3.3
19,Jodhpur to Ajmer,Shre Ganesh Travels,A/C Seater / Sleeper (2+1),22:45,03:15,04h 30m,INR 500,34 Seats available,3.3
20,Jodhpur to Ajmer,Bhagwati Travels and Tours,A/C Seater/Sleeper (2+1),23:30,04:00,04h 30m,INR 400,38 Seats available,4.0
21,Jodhpur to Ajmer,Gorsiya Travels,A/C Seater / Sleeper (2+1),23:40,04:15,04h 35m,INR 600,38 Seats available,3.5
22,Jodhpur to Ajmer,Shree Ganesh Travels,A/C Seater / Sleeper (2+1),23:55,04:30,04h 35m,INR 400,38 Seats available,3.2
23,Jodhpur to Ajmer,Shre Ganesh Travels,Bharat Benz A/C Seater /Sleeper (2+1),23:59,04:15,04h 16m,INR 600,38 Seats available,3.3
24,Jodhpur to Ajmer,Jakhar Travels And Cargo,A/C Sleeper (2+1),23:59,04:00,04h 01m,INR 600,36 Seats available,3.6
25,Jodhpur to Ajmer,Jain travels regd,A/C Seater / Sleeper (2+1),14:10,18:00,03h 50m,INR 430,37 Seats available,2.5
26,Jodhpur to Ajmer,M R Travels,A/C Seater / Sleeper (2+1),14:30,19:15,04h 45m,INR 550,19 Seats available,1.2
27,Jodhpur to Ajmer,Salasar vaishnav travels,A/C Seater / Sleeper (2+1),14:30,20:00,05h 30m,INR 500,22 Seats available,No rating
28,Jodhpur to Ajmer,Jain travels regd,AC Sleeper (2+1),14:30,18:40,04h 10m,INR 650,27 Seats available,2.5
29,Jodhpur to Ajmer,Choudhary travels and cargo,A/C Seater / Sleeper (2+1),15:00,19:30,04h 30m,INR 600,23 Seats available,1.9
30,Jodhpur to Ajmer,Jain travels regd,NON AC Seater / Sleeper 2+1,15:30,20:30,05h 00m,INR 350,35 Seats available,2.5
31,Jodhpur to Ajmer,M R Travels,A/C Seater / Sleeper (2+1),15:30,20:00,04h 30m,INR 500,25 Seats available,1.2
32,Jodhpur to Ajmer,Jain travels regd,NON A/C Sleeper (2+1),16:00,21:10,05h 10m,INR 700,30 Seats available,2.5
33,Jodhpur to Ajmer,Jain travels regd,NON AC Seater/ Sleeper (2+1),17:00,22:55,05h 55m,INR 330,42 Seats available,2.5
34,Jodhpur to Ajmer,CHANDRA RAJ TRAVELS,A/C Seater / Sleeper (2+1),18:15,22:45,04h 30m,INR 500,40 Seats available,1.0
35,Jodhpur to Ajmer,M R Travels,NON A/C Seater/ Sleeper (2+1),18:30,23:40,05h 10m,INR 450,29 Seats available,1.2
36,Jodhpur to Ajmer,RR Travels,A/C Seater / Sleeper (2+1),18:55,01:15,06h 20m,463,38 Seats available,2.2
37,Jodhpur to Ajmer,RR Travels,A/C Seater / Sleeper (2+1),18:55,02:10,07h 15m,324,41 Seats available,2.2
38,Jodhpur to Ajmer,Jain travels regd,NON AC Seater/ Sleeper (2+1),19:00,23:36,04h 36m,INR 330,31 Seats available,2.5
39,Jodhpur to Ajmer,CHANDRA RAJ TRAVELS,A/C Seater / Sleeper (2+1),19:00,01:30,06h 30m,INR 409.52,41 Seats available,1.0
40,Jodhpur to Ajmer,Jain travels regd,NON AC Seater / Sleeper 2+1,19:00,23:50,04h 50m,INR 330,42 Seats available,2.5
41,Jodhpur to Ajmer,Ashok Travels and Cargo,A/C Seater/Sleeper (2+1),19:30,01:00,05h 30m,INR 500,39 Seats available,2.0
42,Jodhpur to Ajmer,Jakhar Travels,A/C Seater / Sleeper (2+1),19:45,00:45,05h 00m,INR 500,25 Seats available,2.9
43,Jodhpur to Ajmer,Jain travels regd,AC Sleeper (2+1),20:00,00:30,04h 30m,INR 580,28 Seats available,2.5
44,Jodhpur to Ajmer,Laxmi traveller,A/C Seater / Sleeper (2+1),20:15,01:10,04h 55m,INR 600,22 Seats available,2.2
45,Jodhpur to Ajmer,Jain travels regd,NON AC Seater / Sleeper 2+1,20:30,01:30,05h 00m,INR 330,48 Seats available,2.5
46,Jodhpur to Ajmer,Jai Shankar Travels,NON AC Seater / Sleeper 2+1,21:00,01:30,04h 30m,INR 350,38 Seats available,2.6
47,Jodhpur to Ajmer,Kalpana Travels Pvt. Ltd.,NON AC Seater / Sleeper 2+1,21:30,02:45,05h 15m,INR 450,34 Seats available,2.8
48,Jodhpur to Ajmer,Kalpana Travels Pvt. Ltd.,NON AC Seater / Sleeper 2+1,21:30,02:40,05h 10m,INR 450,34 Seats available,2.8
49,Jodhpur to Ajmer,Laxmi traveller,NON A/C Seater/ Sleeper (2+1),21:50,02:20,04h 30m,INR 330,14 Seats available,2.2
50,Jodhpur to Ajmer,Gajraj Travels,A/C Sleeper (2+1),22:00,03:10,05h 10m,INR 650,33 Seats available,2.5
51,Jodhpur to Ajmer,Jakhar Travels,A/C Seater / Sleeper (2+1),22:00,02:30,04h 30m,INR 500,28 Seats available,2.9
52,Jodhpur to Ajmer,Laxmi traveller,A/C Seater / Sleeper (2+1),22:00,03:05,05h 05m,INR 580,32 Seats available,2.2
53,Jodhpur to Ajmer,Jain travels regd,NON AC Seater / Sleeper 2+1,22:00,02:51,04h 51m,INR 330,42 Seats available,2.5
54,Jodhpur to Ajmer,M R Travels,A/C Seater / Sleeper (2+1),22:00,02:15,04h 15m,INR 500,35 Seats available,1.2
55,Jodhpur to Ajmer,CHANDRA RAJ TRAVELS,A/C Seater / Sleeper (2+1),22:00,02:30,04h 30m,INR 500,42 Seats available,1.0
56,Jodhpur to Ajmer,Laxmi traveller,A/C Seater / Sleeper (2+1),22:05,02:30,04h 25m,INR 430,32 Seats available,2.2
