,route,name,type,departure_time,arrival_time,duration,price,seats_available,rating
0,Burdwan to Kolkata,SBSTC-BURDWAN - KARUNAMOYEE - A/C - 15:45 (BWN DEPOT) - 1673,AC Seater (2+2),15:45,18:15,02h 30m,INR 200,2 Seats available,4.2
1,Burdwan to Kolkata,SBSTC-BURDWAN - KARUNAMOYEE - 16:10 (BWN DEPOT) - 58,Non AC Seater (2+3),16:10,18:40,02h 30m,INR 100,31 Seats available,4.3
2,Burdwan to Kolkata,SBSTC-BURDWAN - KARUNAMOYEE - 16:45 (BWN DEPOT) - 59,Non AC Seater (2+3),16:45,19:15,02h 30m,INR 100,23 Seats available,4.0
3,Burdwan to Kolkata,SBSTC-BURDWAN - KOLKATA - 17:00 (BWN DEPOT) - 41,Non AC Seater (2+3),17:00,19:00,02h 00m,INR 95,38 Seats available,4.0
4,Burdwan to Kolkata,SBSTC-BURDWAN - KARUNAMOYEE - 17:30 (BWN DEPOT) - 60,Non AC Seater (2+3),17:30,20:00,02h 30m,INR 100,35 Seats available,4.1
5,Burdwan to Kolkata,SBSTC-BURDWAN - KARUNAMOYEE - 18:30 (BWN DEPOT) - 61,Non AC Seater (2+3),18:30,21:00,02h 30m,INR 100,30 Seats available,4.0
6,Burdwan to Kolkata,Shyamoli Paribahan Pvt Ltd,Volvo Multi-Axle A/C Semi Sleeper (2+2),15:20,18:00,02h 40m,INR 429,28 Seats available,4.4
7,Burdwan to Kolkata,Express Line (Karunamoyee),Scania Multi-Axle AC Semi Sleeper (2+2),15:20,18:10,02h 50m,INR 429,16 Seats available,4.1
8,Burdwan to Kolkata,Greenline,Volvo A/C Seater (2+2),16:00,18:50,02h 50m,INR 429,30 Seats available,5.0
9,Burdwan to Kolkata,Shyamoli Yatri Paribahan,Volvo AC Seater Pushback 2+2,16:00,19:00,03h 00m,INR 450,21 Seats available,3.9
10,Burdwan to Kolkata,Express Line,Volvo 9600 A/C Seater (2+2),16:10,19:00,02h 50m,INR 429,29 Seats available,4.4
11,Burdwan to Kolkata,Shyamoli Paribahan Pvt Ltd,Volvo A/C Seater (2+2),16:30,19:20,02h 50m,INR 429,26 Seats available,4.2
12,Burdwan to Kolkata,Greenline (Karunamoyee),Volvo A/C Seater (2+2),16:40,19:30,02h 50m,INR 429,9 Seats available,4.1
13,Burdwan to Kolkata,SHYAMOLI Pvt. Ltd.(Karunamoyee),Volvo B11R Multi Axle Seater (2+2),17:00,20:00,03h 00m,INR 429,39 Seats available,3.8
14,Burdwan to Kolkata,Greenline,Volvo A/C Seater (2+2),17:00,19:50,02h 50m,INR 429,26 Seats available,5.0
15,Burdwan to Kolkata,Express Line (Karunamoyee),Volvo A/C Seater (2+2),17:30,20:25,02h 55m,INR 429,23 Seats available,4.8
