,route,name,type,departure_time,arrival_time,duration,price,seats_available,rating
0,Khammam to Hyderabad,TSRTC - 8977,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",13:50,17:45,03h 55m,INR 320,26 Seats available,4.6
1,Khammam to Hyderabad,TSRTC - 64020,RAJDHANI (A.C. Semi Sleeper),14:00,18:00,04h 00m,INR 389,29 Seats available,3.2
2,Khammam to Hyderabad,TSRTC - 8698,RAJDHANI (A.C. Semi Sleeper),14:05,19:30,05h 25m,INR 389,29 Seats available,3.4
3,Khammam to Hyderabad,TSRTC - 64863,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",14:10,18:30,04h 20m,INR 320,13 Seats available,3.8
4,Khammam to Hyderabad,TSRTC - 8665,LAHARI A/C SLEEPER CUM SEATER,15:00,20:00,05h 00m,INR 389,32 Seats available,4.0
5,Khammam to Hyderabad,TSRTC - 8969,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",15:15,19:30,04h 15m,INR 320,31 Seats available,3.8
6,Khammam to Hyderabad,TSRTC - 1319,Lahari A/C sleeper,17:10,20:45,03h 35m,INR 389,22 Seats available,3.6
7,Khammam to Hyderabad,TSRTC - 8613,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",17:20,21:30,04h 10m,INR 320,31 Seats available,4.1
8,Khammam to Hyderabad,TSRTC - 8675,RAJDHANI (A.C. Semi Sleeper),17:40,21:40,04h 00m,INR 389,31 Seats available,4.1
9,Khammam to Hyderabad,TSRTC - 64089,RAJDHANI (A.C. Semi Sleeper),18:00,22:00,04h 00m,INR 389,35 Seats available,3.5
10,Khammam to Hyderabad,TSRTC - 1952,Lahari A/C sleeper,18:10,21:45,03h 35m,INR 389,38 Seats available,3.2
11,Khammam to Hyderabad,TSRTC - 4172,RAJADHANI AC (CONVERTED METRO LUXURY),18:30,22:30,04h 00m,INR 389,35 Seats available,4.1
12,Khammam to Hyderabad,TSRTC - 64022,RAJDHANI (A.C. Semi Sleeper),19:00,23:00,04h 00m,INR 389,35 Seats available,2.9
13,Khammam to Hyderabad,TSRTC - 8677,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",19:30,23:40,04h 10m,INR 320,31 Seats available,4.4
14,Khammam to Hyderabad,TSRTC - 8625,RAJDHANI (A.C. Semi Sleeper),21:00,01:00,04h 00m,INR 389,35 Seats available,3.5
15,Khammam to Hyderabad,TSRTC - 8619,RAJDHANI (A.C. Semi Sleeper),22:00,02:00,04h 00m,INR 389,33 Seats available,3.9
16,Khammam to Hyderabad,TSRTC - 64593,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",22:30,02:25,03h 55m,INR 320,28 Seats available,4.7
17,Khammam to Hyderabad,TSRTC - 8827,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",22:55,03:20,04h 25m,INR 320,29 Seats available,4.8
18,Khammam to Hyderabad,TSRTC - 4166,RAJADHANI AC (CONVERTED METRO LUXURY),23:00,03:00,04h 00m,INR 389,34 Seats available,4.6
19,Khammam to Hyderabad,TSRTC - 8644,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",23:10,03:20,04h 10m,INR 320,29 Seats available,3.9
20,Khammam to Hyderabad,TSRTC - 8992,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",23:25,03:20,03h 55m,INR 320,15 Seats available,4.7
21,Khammam to Hyderabad,TSRTC - 64008,RAJDHANI (A.C. Semi Sleeper),23:35,03:35,04h 00m,INR 389,34 Seats available,4.4
22,Khammam to Hyderabad,TSRTC - 8805,RAJDHANI (A.C. Semi Sleeper),23:45,03:30,03h 45m,INR 389,27 Seats available,3.5
23,Khammam to Hyderabad,TSRTC - 1323,Lahari A/C sleeper,23:55,03:30,03h 35m,INR 389,29 Seats available,3.6
24,Khammam to Hyderabad,TSRTC - 7646,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",23:55,04:30,04h 35m,INR 320,25 Seats available,3.8
25,Khammam to Hyderabad,TSRTC - 8600,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",23:55,05:20,05h 25m,INR 320,19 Seats available,4.6
26,Khammam to Hyderabad,APSRTC - 3796,Super Luxury (Non AC Seater 2+2 Push Back),22:45,03:10,04h 25m,INR 344,30 Seats available,3.7
27,Khammam to Hyderabad,APSRTC - 3790,Super Luxury (Non AC Seater 2+2 Push Back),23:15,03:25,04h 10m,INR 344,14 Seats available,2.0
28,Khammam to Hyderabad,APSRTC - 35042,Super Luxury (Non AC Seater 2+2 Push Back),23:25,03:31,04h 06m,INR 344,21 Seats available,4.2
