,route,name,type,departure_time,arrival_time,duration,price,seats_available,rating
0,Bareilly to Delhi,UPSRTC - BLY0111,Janrath AC Seater 2+2,19:01,23:45,04h 44m,INR 598,34 Seats available,3.2
1,Bareilly to Delhi,UPSRTC - HDD0063,Ordinary Non AC Seater 2+3,19:39,01:03,05h 24m,INR 415,52 Seats available,3.3
2,Bareilly to Delhi,UPSRTC - RKD0128,Janrath AC Seater 2+2,20:01,01:01,05h 00m,INR 598,34 Seats available,4.1
3,Bareilly to Delhi,UPSRTC - BRT0007,Ordinary Non AC Seater 2+3,21:25,04:00,06h 35m,INR 448,52 Seats available,3.3
4,Bareilly to Delhi,UPSRTC - STD0354,Ordinary Non AC Seater 2+3,21:27,03:42,06h 15m,INR 448,52 Seats available,3.3
5,Bareilly to Delhi,UPSRTC - BLY0139,Janrath AC Seater 2+2,21:31,03:30,05h 59m,INR 598,35 Seats available,3.1
6,Bareilly to Delhi,UPSRTC - LNI0017,Rajdhani Non AC Seater 2+3,21:31,03:00,05h 29m,INR 418,51 Seats available,3.3
7,Bareilly to Delhi,UPSRTC - RKD0121,Shatabdi AC Seater 2+2,22:01,03:01,05h 00m,INR 598,31 Seats available,3.2
8,Bareilly to Delhi,UPSRTC - STD0163,Ordinary Non AC Seater 2+3,22:09,05:25,07h 16m,INR 448,52 Seats available,3.3
9,Bareilly to Delhi,UPSRTC - KSB0008,Shatabdi AC Seater 2+2,22:30,04:45,06h 15m,INR 598,37 Seats available,3.2
10,Bareilly to Delhi,UPSRTC - KSB0028,Shatabdi AC Seater 2+2,22:45,05:00,06h 15m,INR 598,37 Seats available,3.9
11,Bareilly to Delhi,UPSRTC - HDD0005,Janrath AC Seater 2+2,22:45,05:30,06h 45m,INR 602,34 Seats available,3.3
12,Bareilly to Delhi,UPSRTC - LKM0022,Shatabdi AC Seater 2+2,23:00,04:47,05h 47m,INR 604,37 Seats available,3.3
13,Bareilly to Delhi,UPSRTC - STD0296,Ordinary Non AC Seater 2+3,23:13,06:31,07h 18m,INR 448,52 Seats available,No rating
14,Bareilly to Delhi,UPSRTC - KSB0012,Volvo AC Seater 2+2,23:25,04:55,05h 30m,INR 844,36 Seats available,4.6
15,Bareilly to Delhi,UPSRTC - AWD0224,Shatabdi AC Seater 2+2,23:30,05:00,05h 30m,INR 598,37 Seats available,3.3
16,Bareilly to Delhi,UPSRTC - RKD0050,Shatabdi AC Seater 2+2,23:30,05:00,05h 30m,INR 598,37 Seats available,2.5
17,Bareilly to Delhi,UPSRTC - STD0144,Ordinary Non AC Seater 2+3,23:36,06:16,06h 40m,INR 418,52 Seats available,3.3
18,Bareilly to Delhi,UPSRTC - BLY0105,Shatabdi AC Seater 2+2,23:51,04:45,04h 54m,INR 598,27 Seats available,3.5
19,Bareilly to Delhi,UPSRTC - RKD0126,Shatabdi AC Seater 2+2,23:58,05:00,05h 02m,INR 598,37 Seats available,2.4
20,Bareilly to Delhi,UPSRTC - LKM0024,Ordinary Non AC Seater 2+3,23:59,06:00,06h 01m,INR 422,41 Seats available,3.3
21,Bareilly to Delhi,Vijay Tour and Travels,Bharat Benz A/C Sleeper (2+1),19:00,01:10,06h 10m,739,19 Seats available,3.3
22,Bareilly to Delhi,New Khaira TPT,AC Sleeper (2+1),23:15,05:00,05h 45m,INR 1200,1 Seat available,3.9
23,Bareilly to Delhi,R S YADAV SMART BUS PRIVATE LIMITED,VE A/C Sleeper (2+1),23:59,06:05,06h 06m,INR 799,19 Seats available,3.4
24,Bareilly to Delhi,Jaiswal Holidays,A/C Sleeper (2+1),22:40,04:30,05h 50m,INR 800,7 Seats available,2.9
25,Bareilly to Delhi,Jaiswal Holidays,A/C Seater/Sleeper (2+1),22:21,04:41,06h 20m,INR 500,7 Seats available,2.9
26,Bareilly to Delhi,SHRI RAM TRAVELS,A/C Seater (2+2),23:59,05:30,05h 31m,INR 705,13 Seats available,2.9
27,Bareilly to Delhi,Jaiswal Tour and Travels,A/C Sleeper (2+1),22:50,04:35,05h 45m,INR 800,4 Seats available,2.8
28,Aligarh (uttar pradesh) to Delhi,UPSRTC - BDV0108,Ordinary Non AC Seater 2+3,20:28,23:49,03h 21m,INR 203,52 Seats available,No rating
29,Aligarh (uttar pradesh) to Delhi,UPSRTC - BDV0100,Ordinary Non AC Seater 2+3,20:30,23:50,03h 20m,INR 203,52 Seats available,3.3
30,Delhi to Bareilly,UPSRTC - SBD0030,Pink Express AC Seater 2+2,19:00,01:00,06h 00m,INR 598,41 Seats available,3.3
31,Delhi to Bareilly,UPSRTC - PLB0056,Rajdhani Non AC Seater 2+3,19:01,01:00,05h 59m,INR 454,51 Seats available,3.3
32,Delhi to Bareilly,UPSRTC - RKD0113,Janrath AC Seater 2+2,19:01,00:31,05h 30m,INR 598,36 Seats available,1.6
